username;password;email;first_name;last_name;date_of_birth;mobile;phone;account_type;is_active;manager_id;building_name;unit;block;street;district;country;postal_code;property_group;property_sub_group;property_type;unit_type;toilets;utility_room;balcony;lease_period;lease_start_date;relationship;ownership_type
gelas51;qwerty1;gelas51@gmail.com;Parry;Barhem;9/29/1991;112703;461510;user;TRUE;9;Bunga 1;08-0751;Block;Cileupeung Street 1;1;Indonesia;60251;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;TRUE;1;6/14/2022;Owner;Rented
gelas52;qwerty2;gelas52@gmail.com;Celeste;Klaesson;9/29/1992;112703;461510;user;TRUE;9;Bunga 2;08-0752;Block;Cileupeung Street 2;2;Indonesia;60252;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;1;6/15/2022;Owner;Rented
gelas53;qwerty3;gelas53@gmail.com;Norri;Springthorpe;9/29/1993;112703;461510;user;TRUE;9;Bunga 3;08-0753;Block;Cileupeung Street 3;3;Indonesia;60253;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;TRUE;1;6/22/2022;Owner;Rented
gelas54;qwerty4;gelas54@gmail.com;Eirena;Jozsef;9/29/1994;112703;461510;user;TRUE;9;Bunga 4;08-0754;Block;Cileupeung Street 4;4;Indonesia;60254;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;1;7/18/2022;Owner;Rented
gelas55;qwerty5;gelas55@gmail.com;Baily;Rankin;9/29/1995;112703;461510;user;TRUE;9;Bunga 5;08-0755;Block;Cileupeung Street 5;5;Indonesia;60255;Commercial;Office;Condominium;Lesser than 300sqft;2;FALSE;FALSE;1;6/14/2022;Owner;Rented
gelas56;qwerty6;gelas56@gmail.com;Germaine;Magister;9/29/1996;112703;461510;user;TRUE;9;Bunga 6;08-0756;Block;Cileupeung Street 6;6;Indonesia;60256;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;FALSE;1;8/16/2023;Owner;Rented
gelas57;qwerty7;gelas57@gmail.com;Holly;Cullen;9/29/1997;112703;461510;user;TRUE;9;Bunga 7;08-0757;Block;Cileupeung Street 7;7;Indonesia;60257;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;FALSE;1;4/24/2023;Owner;Rented
gelas58;qwerty8;gelas58@gmail.com;Gerrie;Rodgman;9/29/1998;112703;461510;user;TRUE;9;Bunga 8;08-0758;Block;Cileupeung Street 8;8;Indonesia;60258;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;FALSE;1;03/12/2023;Owner;Rented
gelas59;qwerty9;gelas59@gmail.com;Marcus;Gwyther;9/29/1999;112703;461510;user;TRUE;9;Bunga 9;08-0759;Block;Cileupeung Street 9;9;Indonesia;60259;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;FALSE;1;9/29/2022;Owner;Rented
gelas60;qwerty10;gelas60@gmail.com;Richardo;Terram;9/29/2000;112703;461510;user;TRUE;9;Bunga 10;08-0760;Block;Cileupeung Street 10;10;Indonesia;60260;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;1;9/29/2022;Owner;Rented
gelas61;qwerty11;gelas61@gmail.com;Merrily;Flavelle;9/29/2001;112703;461510;user;TRUE;9;Bunga 11;08-0761;Block;Cileupeung Street 11;11;Indonesia;60261;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;1;6/14/2022;Owner;Rented
gelas62;qwerty12;gelas62@gmail.com;Linnea;Melliard;9/29/2002;112703;461510;user;TRUE;9;Bunga 12;08-0762;Block;Cileupeung Street 12;12;Indonesia;60262;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;TRUE;1;6/15/2022;Owner;Rented
