username;password;email;first_name;last_name;date_of_birth;mobile;phone;account_type;is_active;manager_id;building_name;unit;block;street;district;country;postal_code;property_group;property_sub_group;property_type;unit_type;toilets;utility_room;balcony;lease_period;lease_start_date;relationship;ownership_type
minion101;qwerty1;minion101@gmail.com;Rinaldo;Mattson;9/29/1991;112703;461510;user;TRUE;9;Cipleu 1;00-0101;Block;Cileupeung Street 1;1;Indonesia;11101;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;TRUE;1;6/14/2022;Owner;Rented
minion102;qwerty2;minion102@gmail.com;Mariele;Nickels;12/09/1991;112704;461511;user;TRUE;9;Cipleu 2;00-0102;Block;Cileupeung Street 2;2;Indonesia;11102;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;2;6/15/2022;Owner;Rented
minion103;qwerty3;minion103@gmail.com;Edouard;Gally;07/01/2000;112705;461512;user;TRUE;9;Cipleu 3;00-0103;Block;Cileupeung Street 3;3;Indonesia;11103;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;TRUE;3;6/22/2022;Owner;Rented
minion104;qwerty4;minion104@gmail.com;Alika;Valance;5/23/2005;112706;461513;user;TRUE;9;Cipleu 4;00-0104;Block;Cileupeung Street 4;4;Indonesia;11104;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;4;7/18/2022;Owner;Rented
minion105;qwerty5;minion105@gmail.com;Claus;Jarmain;10/27/2003;112707;461514;user;TRUE;9;Cipleu 5;00-0105;Block;Cileupeung Street 5;5;Indonesia;11105;Commercial;Office;Condominium;Lesser than 300sqft;2;FALSE;FALSE;5;6/14/2022;Owner;Rented
minion106;qwerty6;minion106@gmail.com;Minny;Anten;06/12/1993;112708;461515;user;TRUE;9;Cipleu 6;00-0106;Block;Cileupeung Street 6;6;Indonesia;11106;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;FALSE;6;8/16/2023;Owner;Rented
minion107;qwerty7;minion107@gmail.com;Felix;Jellybrand;6/20/1993;112709;461516;user;TRUE;9;Cipleu 7;00-0107;Block;Cileupeung Street 7;7;Indonesia;11107;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;FALSE;7;4/24/2023;Owner;Rented
minion108;qwerty8;minion108@gmail.com;Mead;Le-Good;3/16/1982;112710;461517;user;TRUE;9;Cipleu 8;00-0108;Block;Cileupeung Street 8;8;Indonesia;11108;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;FALSE;8;03/12/2023;Owner;Rented
minion109;qwerty9;minion109@gmail.com;Elisha;Vannar;04/08/1993;112711;461518;user;TRUE;9;Cipleu 9;00-0109;Block;Cileupeung Street 9;9;Indonesia;11109;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;FALSE;9;9/29/2022;Owner;Rented
minion110;qwerty10;minion110@gmail.com;Gilbertina;Damant;3/29/1982;112712;461519;user;TRUE;9;Cipleu 10;00-0110;Block;Cileupeung Street 10;10;Indonesia;11110;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;10;9/29/2022;Owner;Rented
minion111;qwerty11;minion111@gmail.com;Rinaldo;Mattson;9/29/1991;112713;461520;user;TRUE;9;Cipleu 11;00-0111;Block;Cileupeung Street 11;1;Indonesia;11111;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;11;6/14/2022;Owner;Rented
minion112;qwerty12;minion112@gmail.com;Mariele;Nickels;12/09/1991;112714;461521;user;TRUE;9;Cipleu 12;00-0112;Block;Cileupeung Street 12;2;Indonesia;11112;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;TRUE;12;6/15/2022;Owner;Rented
minion113;qwerty13;minion113@gmail.com;Edouard;Gally;07/01/2000;112715;461522;user;TRUE;9;Cipleu 13;00-0113;Block;Cileupeung Street 13;3;Indonesia;11113;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;TRUE;13;6/22/2022;Owner;Rented
minion114;qwerty14;minion114@gmail.com;Alika;Valance;5/23/2005;112716;461523;user;TRUE;9;Cipleu 14;00-0114;Block;Cileupeung Street 14;4;Indonesia;11114;Commercial;Office;Condominium;Lesser than 300sqft;2;FALSE;FALSE;14;7/18/2022;Owner;Rented
minion115;qwerty15;minion115@gmail.com;Claus;Jarmain;10/27/2003;112717;461524;user;TRUE;9;Cipleu 15;00-0115;Block;Cileupeung Street 15;5;Indonesia;11115;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;FALSE;15;6/22/2022;Owner;Rented
minion116;qwerty16;minion116@gmail.com;Minny;Anten;06/12/1993;112718;461525;user;TRUE;9;Cipleu 16;00-0116;Block;Cileupeung Street 16;6;Indonesia;11116;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;16;8/16/2023;Owner;Rented
minion117;qwerty17;minion117@gmail.com;Felix;Jellybrand;6/20/1993;112719;461526;user;TRUE;9;Cipleu 17;00-0117;Block;Cileupeung Street 17;7;Indonesia;11117;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;FALSE;17;4/24/2023;Owner;Rented
minion118;qwerty18;minion118@gmail.com;Mead;Le-Good;3/16/1982;112720;461527;user;TRUE;9;Cipleu 18;00-0118;Block;Cileupeung Street 18;8;Indonesia;11118;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;FALSE;18;03/12/2023;Owner;Rented
