username;password;email;first_name;last_name;date_of_birth;mobile;phone;account_type;is_active;manager_id;building_name;unit;block;street;district;country;postal_code;property_group;property_sub_group;property_type;unit_type;toilets;utility_room;balcony;lease_period;lease_start_date;relationship;ownership_type
baleendah1;qwerty1;baleendah1@gmail.com;Rinaldo;Mattson;9/29/1991;112703;461510;user;TRUE;9;Cileupeung 1;08-0001;Block;Cileupeung Street 1;1;Indonesia;44001;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;TRUE;1;6/14/2022;Owner;Rented
baleendah2;qwerty2;baleendah2@gmail.com;Mariele;Nickels;9/29/1992;112703;461510;user;TRUE;9;Cileupeung 2;08-0002;Block;Cileupeung Street 2;1;Indonesia;44002;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;1;6/15/2022;Owner;Rented
baleendah3;qwerty3;baleendah3@gmail.com;Edouard;Gally;9/29/1993;112703;461510;user;TRUE;9;Cileupeung 3;08-0003;Block;Cileupeung Street 3;1;Indonesia;44003;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;TRUE;1;6/22/2022;Owner;Rented
baleendah4;qwerty4;baleendah4@gmail.com;Rinaldo;Mattson;9/29/1994;112703;461510;user;TRUE;9;Cileupeung 4;08-0004;Block;Cileupeung Street 4;1;Indonesia;44004;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;1;7/18/2022;Owner;Rented
baleendah5;qwerty5;baleendah5@gmail.com;Mariele;Nickels;9/29/1995;112703;461510;user;TRUE;9;Cileupeung 5;08-0005;Block;Cileupeung Street 5;1;Indonesia;44005;Commercial;Office;Condominium;Lesser than 300sqft;2;FALSE;FALSE;1;6/14/2022;Owner;Rented
baleendah6;qwerty6;baleendah6@gmail.com;Edouard;Gally;9/29/1996;112703;461510;user;TRUE;9;Cileupeung 6;08-0006;Block;Cileupeung Street 6;1;Indonesia;44006;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;FALSE;1;8/16/2023;Owner;Rented
baleendah7;qwerty7;baleendah7@gmail.com;Rinaldo;Mattson;9/29/1997;112703;461510;user;TRUE;9;Cileupeung 7;08-0007;Block;Cileupeung Street 7;1;Indonesia;44007;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;FALSE;1;4/24/2023;Owner;Rented
baleendah8;qwerty8;baleendah8@gmail.com;Mariele;Nickels;9/29/1998;112703;461510;user;TRUE;9;Cileupeung 8;08-0008;Block;Cileupeung Street 8;1;Indonesia;44008;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;FALSE;1;03/12/2023;Owner;Rented
baleendah9;qwerty9;baleendah9@gmail.com;Edouard;Gally;9/29/1999;112703;461510;user;TRUE;9;Cileupeung 9;08-0009;Block;Cileupeung Street 9;1;Indonesia;44009;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;FALSE;1;9/29/2022;Owner;Rented
baleendah10;qwerty10;baleendah10@gmail.com;Rinaldo;Mattson;9/29/2000;112703;461510;user;TRUE;9;Cileupeung 10;08-0010;Block;Cileupeung Street 10;1;Indonesia;44010;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;1;9/29/2022;Owner;Rented
baleendah11;qwerty11;baleendah11@gmail.com;Mariele;Nickels;9/29/2001;112703;461510;user;TRUE;9;Cileupeung 11;08-0011;Block;Cileupeung Street 11;1;Indonesia;44011;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;1;6/14/2022;Owner;Rented
baleendah12;qwerty12;baleendah12@gmail.com;Edouard;Gally;9/29/2002;112703;461510;user;TRUE;9;Cileupeung 12;08-0012;Block;Cileupeung Street 12;1;Indonesia;44012;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;TRUE;1;6/15/2022;Owner;Rented
baleendah13;qwerty13;baleendah13@gmail.com;Rinaldo;Mattson;9/29/2003;112703;461510;user;TRUE;9;Cileupeung 13;08-0013;Block;Cileupeung Street 13;1;Indonesia;44013;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;TRUE;1;6/22/2022;Owner;Rented
