username;password;email;first_name;last_name;date_of_birth;mobile;phone;account_type;is_active;manager_id;building_name;unit;block;street;district;country;postal_code;property_group;property_sub_group;property_type;unit_type;toilets;utility_room;balcony;lease_period;lease_start_date;relationship;ownership_type
kapur1;qwerty1;kapur1@gmail.com;Rinaldo;Mattson;9/29/1991;112703;461510;user;TRUE;9;Cileupeung 1;99-0001;Block;Cileupeung Street 1;1;Indonesia;43701;Commercial;Office;Condominium;Lesser than 300sqft;1;true;true;1;6/14/2022;Owner;Rented
kapur2;qwerty2;kapur2@gmail.com;Mariele;Nickels;9/29/1992;112703;461510;user;TRUE;9;Cileupeung 2;99-0002;Block;Cileupeung Street 1;1;Indonesia;43702;Commercial;Office;Condominium;Lesser than 300sqft;2;true;true;1;6/15/2022;Owner;Rented
kapur3;qwerty3;kapur3@gmail.com;Edouard;Gally;9/29/1993;112703;461510;user;TRUE;9;Cileupeung 3;99-0003;Block;Cileupeung Street 1;1;Indonesia;43703;Commercial;Office;Condominium;Lesser than 300sqft;3;false;true;1;6/22/2022;Owner;Rented
kapur4;qwerty4;kapur4@gmail.com;Alika;Valance;9/29/1994;112703;461510;user;TRUE;9;Cileupeung 4;99-0004;Block;Cileupeung Street 1;1;Indonesia;43704;Commercial;Office;Condominium;Lesser than 300sqft;1;false;false;1;7/18/2022;Owner;Rented
kapur5;qwerty5;kapur5@gmail.com;Claus;Jarmain;9/29/1995;112703;461510;user;TRUE;9;Cileupeung 5;99-0005;Block;Cileupeung Street 1;1;Indonesia;43705;Commercial;Office;Condominium;Lesser than 300sqft;2;false;false;1;6/14/2022;Owner;Rented
kapur6;qwerty6;kapur6@gmail.com;Minny;Anten;9/29/1996;112703;461510;user;TRUE;9;Cileupeung 6;99-0006;Block;Cileupeung Street 1;1;Indonesia;43706;Commercial;Office;Condominium;Lesser than 300sqft;3;false;false;1;8/16/2023;Owner;Rented
kapur7;qwerty7;kapur7@gmail.com;Felix;Jellybrand;9/29/1997;112703;461510;user;TRUE;9;Cileupeung 7;99-0007;Block;Cileupeung Street 1;1;Indonesia;43707;Commercial;Office;Condominium;Lesser than 300sqft;1;true;false;1;4/24/2023;Owner;Rented
kapur8;qwerty8;kapur8@gmail.com;Mead;Le-Good;9/29/1998;112703;461510;user;TRUE;9;Cileupeung 8;99-0008;Block;Cileupeung Street 1;1;Indonesia;43708;Commercial;Office;Condominium;Lesser than 300sqft;2;true;false;1;3/12/2023;Owner;Rented
kapur9;qwerty9;kapur9@gmail.com;Elisha;Vannar;9/29/1999;112703;461510;user;TRUE;9;Cileupeung 9;99-0009;Block;Cileupeung Street 1;1;Indonesia;43709;Commercial;Office;Condominium;Lesser than 300sqft;3;true;false;1;9/29/2022;Owner;Rented
kapur10;qwerty10;kapur10@gmail.com;Gilbertina;Damant;9/29/2000;112703;461510;user;TRUE;9;Cileupeung 10;99-0010;Block;Cileupeung Street 1;1;Indonesia;43710;Commercial;Office;Condominium;Lesser than 300sqft;1;false;false;1;9/29/2022;Owner;Rented
